,Strength,MSE,Method,A,A0,A1
161,2.125,2.3241994704450244,ols,[-1.18917436  1.74053024],-1.1891743555813488,1.7405302378059524
162,2.125,4.10224511136314,ols,[ 1.82499018 -2.66627648],1.824990176023454,-2.6662764839054356
163,2.125,2.9667560935430672,ols,[ 1.67563097 -1.77521173],1.6756309712777395,-1.7752117334804929
164,2.25,1.0597542240611157,ols,[-0.29588889 -0.82610444],-0.2958888915359869,-0.8261044415918745
165,2.25,3.9042063502047135,ols,[ 1.55502506 -2.92386718],1.5550250595028672,-2.9238671821589275
166,2.25,6.438934627567892,ols,[ 2.42862203 -3.50496122],2.428622031354584,-3.5049612234535097
167,2.25,6.677958941186562,ols,[ 3.5960147  -1.83348758],3.5960147016031225,-1.8334875817404341
168,2.25,2.545157642301023,ols,[ 1.30356372 -1.85834206],1.3035637179908726,-1.8583420634200956
169,2.25,10.13061888260304,ols,[ 4.11156936 -3.0278693 ],4.1115693630293295,-3.02786929980246
170,2.25,1.277506967615001,ols,[-2.59028621 -2.63956676],-2.590286206184479,-2.6395667605284285
171,2.25,3.7886308525453116,ols,[-0.92339681  3.84125858],-0.9233968145926602,3.841258581771301
172,2.25,5.720153199482713,ols,[ 2.91071344 -2.2481327 ],2.9107134430118395,-2.248132698833835
173,2.25,1.221083825781281,ols,[ 0.18582063 -1.10278403],0.18582062615189934,-1.1027840289374924
174,2.25,1.030241733011118,ols,[-0.21116868 -0.45124768],-0.2111686762977636,-0.45124768012751
175,2.25,1.3108050293811626,ols,[-0.07099265  1.56356033],-0.0709926536902682,1.5635603294886997
176,2.25,1.5117518622661137,ols,[-0.77030456  0.99832189],-0.7703045621498497,0.9983218942663417
177,2.25,1.136974937319138,ols,[1.20040939 0.88339954],1.200409385647339,0.8833995351169825
178,2.25,7.576776158052308,ols,[ 3.90322617 -1.89786208],3.903226165932786,-1.8978620779866178
179,2.25,1.122275533649549,ols,[1.1202117  2.75480975],1.1202116996861062,2.7548097544696546
180,2.25,1.4223053285532445,ols,[-1.00494174 -3.65467262],-1.0049417395073867,-3.654672615609649
181,2.25,1.2968269658318137,ols,[-0.76608012  0.35442084],-0.7660801248235162,0.3544208368849601
182,2.25,1.0733167003292388,ols,[ 0.32404821 -0.11604286],0.324048212624478,-0.11604286484383569
183,2.25,1.1006790122717032,ols,[1.45887539 1.54487781],1.45887539440858,1.544877814995435
184,2.375,5.284574164453699,ols,[-2.51141963  2.56164506],-2.511419634793525,2.5616450601954224
185,2.375,2.615184974571192,ols,[-0.11662552 -4.24817045],-0.11662552371151771,-4.248170445402802
186,2.375,4.925457265298227,ols,[-4.29784419 -0.64741733],-4.297844192514482,-0.6474173261346207
187,2.375,4.446395168370705,ols,[-6.07440479 -3.93553065],-6.074404787845925,-3.9355306479810546
188,2.375,1.217810435816807,ols,[0.71288782 2.52504089],0.7128878225086328,2.525040889028396
189,2.375,5.09567664943667,ols,[-3.29318752  1.12881859],-3.2931875209006276,1.128818591801675
190,2.375,1.0737371948758854,ols,[-2.61561401 -3.66266107],-2.615614006989131,-3.6626610691999697
191,2.375,1.8099300513025336,ols,[ 0.48767421 -2.0326796 ],0.48767421277568235,-2.0326796015895376
192,2.375,1.1741889854888168,ols,[-0.46430625  0.43499004],-0.46430624784770885,0.43499004099072197
193,2.375,3.574668349446294,ols,[ 2.79219449 -0.59508776],2.7921944862683175,-0.5950877634683197
194,2.375,1.5384271018032725,ols,[-0.6449171  -3.35091434],-0.644917098931386,-3.350914338828905
195,2.375,3.333916559917536,ols,[-2.5397933   0.74121757],-2.5397932977480275,0.7412175675600035
196,2.375,1.3779819983624768,ols,[0.60501565 2.84921388],0.6050156482940291,2.849213878612883
197,2.375,1.4656621640912837,ols,[1.83316534 0.85159276],1.833165337359641,0.8515927595318769
198,2.375,2.9246239378244128,ols,[2.79346289 0.15185873],2.793462893018326,0.1518587332912657
199,2.375,6.614432750375736,ols,[-3.65765711  1.62043665],-3.657657113186975,1.620436653792664
200,2.375,1.1251125314318646,ols,[-3.13596485 -4.18675422],-3.1359648481758313,-4.186754219913734
201,2.375,2.5133128947251135,ols,[-1.14907109  2.06831462],-1.1490710892779523,2.0683146169665227
202,2.375,1.1855191339372515,ols,[2.98953492 3.6976181 ],2.9895349244698277,3.6976180994281465
203,2.375,8.883393663994447,ols,[-5.10749639  0.69589113],-5.107496394211932,0.6958911291526481
204,2.375,1.067225955468484,ols,[0.33209991 0.00351223],0.3320999135485516,0.003512229160220836
205,2.5,1.3384567154041285,ols,[-0.85765796  0.3740937 ],-0.857657955428208,0.37409369596163566
206,2.5,6.597878094685525,ols,[ 4.43394593 -0.39960851],4.433945925401913,-0.39960851445765566
207,2.5,9.29309803528912,ols,[-4.0112216   2.69776124],-4.011221604853539,2.697761235179562
208,2.5,1.4805616102961614,ols,[ 0.52646737 -1.28589762],0.5264673690142809,-1.2858976215335818
209,2.5,1.17744768020512,ols,[0.53359357 2.0993169 ],0.5335935717314801,2.099316896418855
210,2.5,1.23946928462018,ols,[-0.27870508 -1.96728257],-0.27870508466973953,-1.9672825675606618
211,2.5,6.65613171830598,ols,[ 3.56219985 -1.86315565],3.5621998520111022,-1.8631556460078458
212,2.5,3.68740400961404,ols,[-2.28703985  1.49976836],-2.2870398529773115,1.4997683567289075
213,2.5,4.073788601023344,ols,[ 3.28000766 -0.28362675],3.2800076553476476,-0.2836267510936975
